Subject ID,Recording ID,ROI,Extraction Method,Signal,Number of Windows,MAE (bpm),RMSE (bpm),Pearson r,Pearson p,Bias (bpm),SD (bpm),LoA Lower (bpm),LoA Upper (bpm),Mean rPPG (bpm),Median rPPG (bpm),Mean Ground Truth (bpm),Median Ground Truth (bpm),Mean Error (bpm),Median Error (bpm),Median Absolute Error (bpm)
s28,vid_s28_T1.avi,mesh_forehead,POS,,34,9.54,11.36,0.051,0.774,-0.6,11.52,-23.17,21.98,88.27,88.3,88.86,88.06,-0.6,1.89,8.09
s28,vid_s28_T2.avi,manual,R,,33,29.17,35.82,0.213,0.233,-27.88,22.83,-72.63,16.86,81.78,81.25,109.66,102.87,-27.88,-25.98,25.98
s28,vid_s28_T2.avi,manual,G,,33,31.15,37.59,0.256,0.15,-30.41,22.45,-74.4,13.58,79.26,78.43,109.66,102.87,-30.41,-27.14,27.14
s28,vid_s28_T2.avi,manual,B,,33,32.42,38.65,0.269,0.13,-31.75,22.39,-75.63,12.12,77.91,77.1,109.66,102.87,-31.75,-29.99,29.99
s28,vid_s28_T2.avi,manual,GREY_W,,33,30.72,37.15,0.251,0.159,-29.82,22.5,-73.91,14.28,79.85,79.74,109.66,102.87,-29.82,-27.24,27.24
s28,vid_s28_T2.avi,manual,GREY_A,,33,30.95,37.32,0.255,0.152,-30.05,22.48,-74.1,14.01,79.62,78.93,109.66,102.87,-30.05,-27.89,27.89
s28,vid_s28_T2.avi,manual,PCA_1,,33,30.89,37.26,0.254,0.153,-29.97,22.48,-74.04,14.1,79.69,79.15,109.66,102.87,-29.97,-27.83,27.83
s28,vid_s28_T2.avi,manual,PCA_2,,33,30.98,38.11,-0.166,0.357,-27.85,26.41,-79.62,23.92,81.81,81.75,109.66,102.87,-27.85,-29.29,29.29
s28,vid_s28_T2.avi,manual,PCA_3,,33,24.32,31.92,-0.169,0.348,-19.48,25.67,-69.8,30.83,90.18,91.23,109.66,102.87,-19.48,-18.01,20.87
s28,vid_s28_T2.avi,manual,ZCA_1,,33,25.12,33.07,-0.076,0.672,-21.47,25.53,-71.52,28.57,88.19,91.09,109.66,102.87,-21.47,-22.45,22.45
s28,vid_s28_T2.avi,manual,ZCA_2,,33,26.22,34.31,-0.213,0.233,-23.97,24.92,-72.82,24.88,85.69,86.0,109.66,102.87,-23.97,-16.95,16.95
s28,vid_s28_T2.avi,manual,ZCA_3,,33,30.47,36.32,0.028,0.878,-26.64,25.07,-75.78,22.5,83.02,84.26,109.66,102.87,-26.64,-29.25,29.25
