Subject ID,Recording ID,ROI,Extraction Method,Number of Windows,MAE (bpm),RMSE (bpm),Pearson r,Pearson p,Bias (bpm),SD (bpm),LoA Lower (bpm),LoA Upper (bpm),Mean rPPG (bpm),Median rPPG (bpm),Mean Ground Truth (bpm),Median Ground Truth (bpm),Mean Error (bpm),Median Error (bpm),Median Absolute Error (bpm)
s9,vid_s9_T2.avi,none,CHROM,53,39.02,43.86,-0.248,0.074,-3.67,44.13,-90.16,82.82,85.75,81.0,89.42,92.57,-3.67,-19.44,41.57
s9,vid_s9_T2.avi,none,POS,53,39.89,44.37,-0.243,0.080,-2.59,44.72,-90.24,85.05,86.83,72.0,89.42,92.57,-2.59,-12.58,39.41
s9,vid_s9_T2.avi,face_track,R,53,33.81,38.58,-0.089,0.526,-25.8,28.96,-82.56,30.96,63.62,63.0,89.42,92.57,-25.8,-38.14,40.47
s9,vid_s9_T2.avi,face_track,G,53,31.57,36.95,-0.034,0.808,-25.57,26.93,-78.36,27.21,63.85,63.0,89.42,92.57,-25.57,-34.64,34.64
s9,vid_s9_T2.avi,face_track,B,53,29.5,35.4,0.117,0.405,-24.55,25.74,-75.01,25.9,64.87,66.0,89.42,92.57,-24.55,-24.16,25.24
s9,vid_s9_T2.avi,face_track,GREY_W,53,32.54,37.67,-0.062,0.660,-24.72,28.69,-80.95,31.51,64.7,63.0,89.42,92.57,-24.72,-34.64,37.11
s9,vid_s9_T2.avi,face_track,GREY_A,53,32.36,37.13,0.033,0.816,-25.01,27.71,-79.32,29.31,64.42,63.0,89.42,92.57,-25.01,-33.9,34.64
s9,vid_s9_T2.avi,face_track,PCA_1,53,32.19,36.95,0.05,0.722,-24.84,27.62,-78.96,29.29,64.58,63.0,89.42,92.57,-24.84,-32.14,33.9
s9,vid_s9_T2.avi,face_track,PCA_2,53,32.54,35.97,0.132,0.347,-25.18,25.94,-76.02,25.67,64.25,60.0,89.42,92.57,-25.18,-34.64,34.73
s9,vid_s9_T2.avi,face_track,PCA_3,53,31.08,37.24,0.064,0.648,-27.1,25.78,-77.63,23.43,62.32,63.0,89.42,92.57,-27.1,-32.02,32.02
s9,vid_s9_T2.avi,face_track,ZCA_1,53,32.58,38.49,-0.03,0.831,-24.33,30.11,-83.33,34.68,65.09,60.0,89.42,92.57,-24.33,-28.49,38.14
