subject,recording,video,roi,mae,rmse,r,bias,sd,mean_gt,mean_rppg,mean_pair,diff,failure
4e8r,4e8r_Counting1,4e8r|4e8r_Counting1,poly,11.68,13.32,-0.535,-8.29,10.85,105.14,96.84,100.99000000000001,8.299999999999997,1
4e8r,4e8r_Counting2,4e8r|4e8r_Counting2,poly,25.3,25.39,0.767,-25.3,2.29,105.86,80.56,93.21000000000001,25.299999999999997,1
4e8r,4e8r_Counting3,4e8r|4e8r_Counting3,poly,4.56,4.65,0.533,-4.56,0.95,84.93,80.36,82.64500000000001,4.570000000000007,0
4e8r,4e8r_Math,4e8r|4e8r_Math,poly,6.06,7.23,-0.541,5.67,4.66,93.53,99.2,96.36500000000001,-5.670000000000002,0
4e8r,4e8r_Reading,4e8r|4e8r_Reading,poly,24.87,27.09,-0.855,-24.87,11.18,109.35,84.48,96.91499999999999,24.86999999999999,1
4e8r,4e8r_Relax,4e8r|4e8r_Relax,poly,7.16,8.48,0.144,4.43,7.32,76.42,80.85,78.63499999999999,-4.429999999999993,0
4e8r,4e8r_Speaking,4e8r|4e8r_Speaking,poly,10.98,11.14,0.836,-10.98,1.96,98.39,87.41,92.9,10.980000000000004,1
4e8r,4e8r_Stroop,4e8r|4e8r_Stroop,poly,2.36,2.74,0.551,2.27,1.6,96.89,99.15,98.02000000000001,-2.260000000000005,0
4e8r,4e8r_Video1,4e8r|4e8r_Video1,poly,5.21,7.4,0.047,2.59,7.0,74.86,77.45,76.155,-2.5900000000000034,0
4e8r,4e8r_Video2,4e8r|4e8r_Video2,poly,8.86,10.2,0.084,8.86,5.13,72.64,81.5,77.07,-8.86,0
4woj,4woj_Baseline,4woj|4woj_Baseline,poly,31.57,31.69,0.345,31.57,2.94,47.14,78.7,62.92,-31.560000000000002,1
4woj,4woj_Breathing,4woj|4woj_Breathing,poly,22.3,23.9,0.574,22.3,8.68,53.5,75.8,64.65,-22.299999999999997,1
4woj,4woj_Counting1,4woj|4woj_Counting1,poly,9.26,12.01,-0.902,3.27,11.99,69.6,72.87,71.235,-3.2700000000000102,0
4woj,4woj_Counting2,4woj|4woj_Counting2,poly,8.07,8.45,0.446,-8.07,2.6,68.12,60.05,64.08500000000001,8.070000000000007,0
4woj,4woj_Counting3,4woj|4woj_Counting3,poly,4.94,5.75,-0.341,-1.77,5.68,71.41,69.64,70.525,1.769999999999996,0
4woj,4woj_Math,4woj|4woj_Math,poly,11.88,12.15,0.158,11.88,2.65,78.52,90.4,84.46000000000001,-11.88000000000001,1
4woj,4woj_Reading,4woj|4woj_Reading,poly,6.64,9.35,-0.028,6.56,6.91,79.13,85.69,82.41,-6.560000000000002,0
4woj,4woj_Relax,4woj|4woj_Relax,poly,24.45,25.22,0.179,24.45,6.25,51.41,75.86,63.635,-24.450000000000003,1
4woj,4woj_Speaking,4woj|4woj_Speaking,poly,12.13,12.23,0.509,12.13,1.62,57.15,69.28,63.215,-12.130000000000003,1
4woj,4woj_Stroop,4woj|4woj_Stroop,poly,8.58,8.83,0.354,8.58,2.18,58.87,67.45,63.16,-8.580000000000005,0
4woj,4woj_Video1,4woj|4woj_Video1,poly,28.52,30.77,0.321,28.52,11.66,50.13,78.66,64.395,-28.529999999999994,1
4woj,4woj_Video2,4woj|4woj_Video2,poly,31.85,32.24,-0.162,31.85,5.09,46.01,77.85,61.92999999999999,-31.839999999999996,1
5f7t,5f7t_Baseline,5f7t|5f7t_Baseline,poly,5.75,6.43,-0.611,3.93,5.3,76.71,80.64,78.675,-3.930000000000007,0
5f7t,5f7t_Breathing,5f7t|5f7t_Breathing,poly,7.08,7.72,-0.29,-5.68,5.27,67.42,61.74,64.58,5.68,0
5f7t,5f7t_Counting1,5f7t|5f7t_Counting1,poly,3.44,4.44,0.658,-3.33,3.05,80.75,77.42,79.08500000000001,3.3299999999999983,0
5f7t,5f7t_Counting2,5f7t|5f7t_Counting2,poly,3.55,4.34,0.992,3.55,2.58,77.67,81.22,79.445,-3.549999999999997,0
5f7t,5f7t_Counting3,5f7t|5f7t_Counting3,poly,6.24,6.87,-0.613,6.24,2.99,76.11,82.35,79.22999999999999,-6.239999999999995,0
5f7t,5f7t_Math,5f7t|5f7t_Math,poly,2.23,3.4,-0.393,0.94,3.39,78.74,79.68,79.21000000000001,-0.9400000000000119,0
5f7t,5f7t_Reading,5f7t|5f7t_Reading,poly,2.63,3.45,-0.411,0.96,3.44,81.29,82.25,81.77000000000001,-0.9599999999999937,0
5f7t,5f7t_Relax,5f7t|5f7t_Relax,poly,12.46,14.13,-0.107,12.46,6.74,65.36,77.82,71.59,-12.459999999999994,1
5f7t,5f7t_Speaking,5f7t|5f7t_Speaking,poly,11.89,12.27,-0.621,11.89,3.18,74.09,85.98,80.035,-11.89,1
5f7t,5f7t_Stroop,5f7t|5f7t_Stroop,poly,1.16,1.3,0.848,-1.16,0.61,78.6,77.43,78.015,1.1699999999999875,0
5f7t,5f7t_Video1,5f7t|5f7t_Video1,poly,6.48,7.71,-0.174,6.32,4.47,68.38,74.7,71.53999999999999,-6.320000000000007,0
5f7t,5f7t_Video2,5f7t|5f7t_Video2,poly,7.25,7.71,-0.138,-7.25,2.66,69.95,62.69,66.32,7.260000000000005,0
6g6y,6g6y_Baseline,6g6y|6g6y_Baseline,poly,18.88,20.59,-0.816,-18.88,8.56,80.21,61.33,70.77,18.879999999999995,1
6g6y,6g6y_Breathing,6g6y|6g6y_Breathing,poly,10.83,12.39,-0.643,9.85,7.59,70.87,80.72,75.795,-9.849999999999994,1
6g6y,6g6y_Counting1,6g6y|6g6y_Counting1,poly,2.2,2.78,0.941,-0.75,2.78,97.85,97.1,97.475,0.75,0
6g6y,6g6y_Counting2,6g6y|6g6y_Counting2,poly,15.13,16.69,-0.073,-15.13,7.32,100.04,84.91,92.475,15.13000000000001,1
6g6y,6g6y_Counting3,6g6y|6g6y_Counting3,poly,12.62,13.13,0.396,-12.62,3.78,100.44,87.82,94.13,12.620000000000005,1
6g6y,6g6y_Math,6g6y|6g6y_Math,poly,15.65,19.58,-0.976,15.65,12.21,106.61,122.27,114.44,-15.659999999999997,1
6g6y,6g6y_Reading,6g6y|6g6y_Reading,poly,10.52,12.98,-0.808,-10.52,7.91,105.21,94.69,99.94999999999999,10.519999999999996,1
6g6y,6g6y_Relax,6g6y|6g6y_Relax,poly,6.57,7.54,-0.203,-3.07,6.97,84.52,81.46,82.99,3.0600000000000023,0
6g6y,6g6y_Speaking,6g6y|6g6y_Speaking,poly,13.68,14.21,0.253,-13.68,4.0,96.23,82.55,89.39,13.680000000000007,1
6g6y,6g6y_Stroop,6g6y|6g6y_Stroop,poly,12.37,13.79,-0.429,-12.37,6.34,94.11,81.74,87.925,12.370000000000005,1
6g6y,6g6y_Video1,6g6y|6g6y_Video1,poly,6.81,8.13,-0.515,6.3,5.19,71.39,77.69,74.53999999999999,-6.299999999999997,0
6g6y,6g6y_Video2,6g6y|6g6y_Video2,poly,8.23,8.94,-0.724,2.36,8.75,77.34,79.71,78.525,-2.3699999999999903,0
6k5f,6k5f_Baseline,6k5f|6k5f_Baseline,poly,3.62,4.8,-0.762,3.6,3.29,76.91,80.51,78.71000000000001,-3.6000000000000085,0
6k5f,6k5f_Breathing,6k5f|6k5f_Breathing,poly,9.37,9.56,0.502,9.37,1.92,64.04,73.41,68.725,-9.36999999999999,0
6k5f,6k5f_Counting1,6k5f|6k5f_Counting1,poly,12.08,13.68,0.921,-11.96,6.91,79.63,67.67,73.65,11.959999999999994,1
6k5f,6k5f_Counting2,6k5f|6k5f_Counting2,poly,14.61,14.64,0.087,-14.61,0.94,74.53,59.93,67.23,14.600000000000001,1
