Technique,Method,ROI,MAE (bpm),r,p,n
HILBERT,POS,Face tracking (BlazeFace forehead),5.62,-0.18,0.182,54
HILBERT,R,Polygonal forehead (Landmarker),2.77,0.48,<0.001,54
HILBERT,G,Polygonal forehead (Landmarker),3.17,0.59,<0.001,54
HILBERT,B,Polygonal forehead (Landmarker),2.36,0.54,<0.001,54
HILBERT,GREY Weight,Polygonal forehead (Landmarker),14.03,0.22,0.118,54
HILBERT,GREY Avg,Polygonal forehead (Landmarker),4.09,0.64,<0.001,53
HILBERT,PCA,Polygonal forehead (Landmarker),4.02,0.56,<0.001,54
HILBERT,ZCA,Polygonal forehead (Landmarker),2.71,0.45,<0.001,54
HILBERT,ICA,Polygonal forehead (Landmarker),4.5,0.22,0.102,54
HILBERT,CHROM,Polygonal forehead (Landmarker),5.17,0.09,0.498,54
HILBERT,POS,Polygonal forehead (Landmarker),5.52,-0.05,0.746,54
HILBERT,R,Polygonal (Landmarker; forehead + cheeks),6.35,-0.43,0.001,53
HILBERT,G,Polygonal (Landmarker; forehead + cheeks),4.11,0.05,0.715,54
HILBERT,B,Polygonal (Landmarker; forehead + cheeks),6.81,-0.12,0.377,54
HILBERT,GREY Weight,Polygonal (Landmarker; forehead + cheeks),3.5,0.25,0.063,54
HILBERT,GREY Avg,Polygonal (Landmarker; forehead + cheeks),3.25,0.37,0.006,54
HILBERT,PCA,Polygonal (Landmarker; forehead + cheeks),3.38,0.34,0.011,54
HILBERT,ZCA,Polygonal (Landmarker; forehead + cheeks),4.04,0.05,0.714,54
HILBERT,ICA,Polygonal (Landmarker; forehead + cheeks),5.06,-0.05,0.713,54
HILBERT,CHROM,Polygonal (Landmarker; forehead + cheeks),5.63,-0.16,0.244,54
HILBERT,POS,Polygonal (Landmarker; forehead + cheeks),5.74,-0.09,0.500,54
